video_id,title,comments
mS-vkPkz9AQ,Grup Latanier - Zonn frans,🙏🇲🇺🇲🇺🇲🇺 Proud to be a MAURITIAN.....I grew up listening to these immortal songs.... merci syndicat.... Paul Raymond Berenger et General workers federation...la chaine...exclave fine kassé...mais buku Mauriciens zot hypocrite...zot fine blier Paul Raymond Berenger...kine riské so la vie...contre la mort...pou amelior condition ban travailleurs Mauriciens...🙏🇲🇺🇲🇺🇲🇺 | The best of  the best ❤ | PAROLE SANTE GRAZIE PER IL VIDEO !! | Bruno ti 1 piece dan canon dan latanier | Sa wer  full darcord  travaille  kuma beouf  la payer kuma cheval  sa ban patron  domineur  la bisin ecoutet  sa  la tete poser  reflechir  jot error  ki  faire avec maleireux Dan's lusine  travaile  365  jour   ek un jour  ou vini  katna  dans  la porte  15 ans  mo travaille  lusine  mo trouver  komie  lu sine fermer  ek komie maleureux  lor paver  dans cash  manger  quand rod  patron  li pala li sauver
GAn02l-rSZo,Lavi lor later - Nitish JOGANAH,Great song and thank you Nitish. | Sa so Top 👍❤️ | la veriter mo frere  | great song | aLa joli :)  | Krapo la enkor p krie...merci boku Nitish... | Top | Toi qui ena dialog | Le Seyer pe ecout Toi | Comment appelle sa chanté Nitish  Jogana ?Ene chanté bien triste 😢🙌🏽👌🙏
UvAOh4aIa68,Marsan la liberté - Nou sante Bam,
galO0_DCVtA,Saki mo été - Nitish Joganah,kze frer la!!!!!!l li vre sa!  | Bien vrai Nitish... | yaya o a nanai | mo mo hi ya | jojo ei yea | sasa a kaka ma sai | soso a ei ya | po po na se a  no
gIUShmxvGE4,Grup Latanier - Lafrik,
KaysKTHhPsE,Nou sant Bam Cuttayen,hey nice video..... mo ban cuzin sa...:) | chek ban kuz...nice viedo..:) | dre-c partou | the beat is gud    but the pitch can be worked on
0-SK02MTwig,Ton madev - Grup Latanier,"C’est l’âge d’or du militantisme dans nous zoli ti zil. Sega engager c’est nous patrimoine, c’est ene poésie qui raconte souffrance et misère nous bann ancêtres. | respect nitish mo rapel mo l enfance merci guru | 🙏🙏🇲🇺🇲🇺 Sa sega la ti sorti en 1982.... malgrè 38 ans deja....sa chanter la li eternel pou moi....mo pa agacé pou ecoute li tou le jour....merci group Latanier... proud to be a Mauritian....🙏🙏🇲🇺🇲🇺 | Family Moi monn gain GRASS vive soufrance TI ton Madeve mo dier MERCI beaucoup a JHS sa inn aid moi a kulltive laventage MERCI beaucoup GOD BLESS you family | Merci beuxcoup le group's latanier segatier zilwah, nous tous metis Mauritian creole, 🌼🎊💐🌹🎊✨🎊❤️🌹👍👍👍🙌🌺🌸🌼👌✨🇮🇳🇫🇷🇬🇧🇧🇷🏳️‍🌈🇯🇵🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺 | Lived more than half my life outside our great great Island and my heart beats so fast every time I hear these songs. I remember the difficulties my mom,dad,uncles,aunts and grandparents went through. My heart ache but the tears are not flowing. Thank you Joganah brothers. | Eski kiken parey couma moi en 2023 p enkor aprecier sa bijou la? | 2023 encor frisoner r sa ban parol la.. Combien temp to pu kumsa madev r to lasen invisib to bizin dir non a lexploitasion.. Tou ban parol la fr vibre e c tou c vrai.. Ban artist de no jour bizin apran r sa group ki ti apel latanier la.. Hatsss off | 2023 sana ki lahh! | ❣ from Canada. Big miss.. | 🌷🌷J'adore pense l'époque gènes 🌷🌻🌻 | Wa trop bon sa song la, fer nu rappelle cuman nu bane encetre ine trimer pu zot gagne zot lavie sous lempire colon, homage a zot. | Very sad, gives me chills. Mauritian slave history is not talked about enough | Mo dedier sa a Mo Papa,Grace a li ki Mo Dan chanter engager zordi.merci pa vraimem to relax r sa!! | en 82, on écoutait ça sur la plage! séga engagé!bons souvenirs! | Nostalgie net saa🥲✨️ | Pou tout bann travail informel | 2025 still alive ❤✨️ | En zoli morceau ki plis ki 13ans apres sanT la enkre ena valeur ❤ | Zordi zur nu en 2021.. li enkor pareil frer.. bef travail souval manger... | 2021 🇲🇺 Zoli zistoir lor sa sonté ❤️😍 | MANY THANKS GROUP LATANIER, THESE IMMORTAL SONGS STILL HAUNTS ME AND TAKE ME BACK TO MY MEMORABLE TEENAGE DAYS,MY WARM BLESSINGS WITH PEACE AND LOVES,👍🇲🇺🇲🇺🇲🇺 | sa fr mwa mazine mo l'enfance tou les w-end mo papa ti p met sa ban sega la mem mo ena 40 ans c encore mo ban sega prefere | 2023, kot nu p alE madev...🙈 Bzn dir Non à lexplwatatyon❤ | Merci enkor Nitish ,,sa ban chanter la bizin jouer Dan tou ban radio Moris ,,fer ban nuvo generation aucourant ,,ki baizer nu ban ancentre fine ramasser Dan Moris ,,🇲🇺🇲🇺🇲🇺 | Un sega avec tout histoire. | 2021 enkor pe ekouter ❤️ | J,aime bcp cette chanson  les paroles sont forte❤ | Born in bassin rd 4 Bornes, respect lèker gros quand écoute sa meme mo mix... | extra , merci bcp, fer longtemps ça, mo pa tane ça, avec ène rythme puissant, nou nou même !!! | Bhai Ram, Nitish et tous banne chanteurs engager, ti enne la force extraordinaire a travers zotte chanters engagers, ki ti reveille conscience le peuple dans 4 coins pays et eventuellement influence changement et directions politique et destin nous pays. Enne parti integre du combat contre banne la | Sa oui <3 Ca apele la mizik ♥ | Bel disc sa part | C'était mon enfance, les segas que mon défunt papa écoutait, sur l'album fleur de la rose, ilny avait un sega rn français, j'aurais tellement voulu l'écouter | Welcome to Canada | 2022 tjr frisone l'âme bne ki perse mo l'enfance ❤️💯 | Des paroles très forte!! J ADORE | Dibouté Maurice! Nou pas lé l'exploitation! | sa bizin rester nou coutume séga | 2020 enkor pe ekouter | 2021 ? 🥰🥰🥰 | Sa San T li enco ena valer mem nou en 2021 | 2024 ❤ | Classique sa bane frere | 2020 kisana present 🌞👈🏽❤️ | Made my day man ... ❤ | Oldies but goldies. | 2025 ❤❤❤❤ | Great song... | Top sa en 2020 et enkor.. | tro bon sa!!! kot to p aller Madev!!! | ban zen artist ki p monté bisin pren example lor lataniers!!!!Paroles Fort!!!!Top song:D | 2023 kisanla present 👌 | Sa pu reste mémorable sa ♥️♥️♥️♥️ | 2023 kisanla present 👋👊👍 | 2023🔥❤ | wa frer, ban couyon la pa kone ki zot p quitte pou al bour deryer kass dan lerop | ziska zordi nkor ena sa ban kaliter dimun la p vivre politichien pouri nu lavi | 100 pou 100  YES , it's the real world, in this country | 2022 mo p enkor ekut sa sanT la  🥰🥰🥰🥰❤❤❤❤ | Mark ban sega engaze en 2022....tiabon nu ban artist re amene sega engaze | September 2023 ❤..... | Nou ban arriere grand parent in travail dur pou ki zordi nou p vive trankil c zot kin vive dan la mizer mais zordi nou ban zeness p zet nou ti maurice so fierT zot p ale zot p al fr esclave dan leurope resP a group Latanie pou sa vrai sega la  | kan pa zot pa kone valer sa sanT la pa dislike bane baya!!! | tro top sa  | trop top sa bn sante la | 2024 <--Le 31 dec 2025 kisanla lah | sa ki so bon mari souvenir zamé pa pou blier | 2024 | Kisane là en 2025 | Encr present | joganah brothers living legend... | Soldat Lalit sounded sounded on Mica Beauty and Seacret | Et dire nou ti p trouve sa lepok la amere ,l""'anne 82 ti n lepok beni comparer avec aster | 2023 anyone here | Sa chanter la bizin ene commemoration pou tou labourer longtemps | sa banes parole la touche le coeur | 2023 mo present | wa frer, ban la couyon zot pa kone ki zot p quitte pou al bour derier kass dan lerop. apres declar pli la reine ki lareine | Sa ki apel vrai sega | Old is gold | I love this songs | Hats  of  u bro nitish | 2023 present | Rajen seevathean encoder vive avec sa | 2025 😢 encore p couP em | trop bien des souvenirs. | Forever fresh .. | Zolii parole❤🔥 | Jamais grand frère nous  pou perdi sa | 2021 | Sega engaze inn col Dan nu penser | @kevintupac81  , et fière de l'être! nous sommes les  pionniers  du melting pot... conservons notre ouverture d'esprit, ce qui fait aussi notre force. | Sa ki li mame | Parol sacre sa fer nou rapel nou ancetres ki ti pe travail dure pou gagne ene du pain la fin la zournee | 2022. ❤️ | Tro bon. Topo. | 2023 | bann cekinn dislike p ekoute Justin Bieber | Letemps quand Paul ti un brain revolutionaries.Travailleurs pas ti connect so fruits humaine et citizens.La miser noire le temps margoze."
PFBtcRHkEmk,Gaby - Cuttayen,"The lyrics of his song is so poetic and heart touching...hope that the new generation can appreciate the power behind his song....sega engagé! | 🙏🙏🙏 Big respect to this phenomenal singer named sir Bam cuttayen... grace ar so ban parole sackré....mo fine reusi ouvert ene passage dan marénoire....astère la ban nuvo generation pa pou compren sega engazer.... zot pe gangne tou lor plateau....est ce ki ban la kon la misère noire ???? 🙏🙏🙏 | Bel hommage au poète, au rêveur, à l'idéaliste et l'intellectuel qu'était Bam Cuttayen ! Il rêvait d'un monde meilleur ! | RIP .trop fort les paroles il chante avc tous son ame c immortel ..... | sa sega la lii dans leker tou dimoune enfin tou mauricien cone sa santer meme  c ki declare pas contan sega enfin c 1 heritaz extraordinaire ki tone kit pou nou Bam  | Bizin plorer kan tan Bam so chanter .le coeur prend difé .li chante avec so lame so le coeur.Avec la peau pistache bien difficile woh | Sa la misik la pu resuscitate enn zur ,sa mem ki pu donn valer ek  beaute nu langaz kreol. | RIP bam, to bane disc pou reste l'or toultetemp | so bane paroles tro fort..... RIP Bam | super chanson | Mw oci parey tro bn sa sanT la...pna ler m ecout sa..😀😀😀 | Un beau texte engagé et qui donne la force j dédie cette chanson à mon mari Cyril qui jouait ce morceau à la guitare | faudrai ene couyon ki pas cone la mizik ki dislike sa chanter la. ine gagne plis ki 30 ans mo enkor content sa chanter la | La musique canon | Ce le moment nous tir  tou  met dehor | in arrive 2015 ena dimoun pena la case , dimoune ki pe travaille dans etat p gagne plis qui rs75000 la paie p gagne la terre avec golden boy | Ever green song | trop top sa <3 | mazine lepok misere mais ti ene jolie la vie | Merci frere😢 | meilleur sa  | Greetings from Argentina!! Workers of the world unite!! ☭ | So paroles trop trop fort | top song | tres jolie  chanter. ... | super | nic song........ | @kavuspike147 seryer man, respect. he did a great job. hommaz a li. :) | in faire end generation prend conscience zot lavenir | jolie | fer moi pense mo papa.... | mari sanT fran fran.... | ❤ | @kavishspike147 ..mo dakor 100% :) | kan mo ti tipti mo rapel mo papa ti p sante sa ...mo kner mo p mank maurice kan mo komans guet sega lor youtube :) | @luckyhuss Pour commencer  Salut...""Letmp to en dhor Maurice ki to kone so vraie Valueur"" Enfin, voila c mo l'opinion sa...  am not imposing it, i just did comment, but did not complain, kuma dir, nu keep cool  :) ....  si to ti kone so valeur, li tres bien...Mais poz twa mem la ques, eski tou dimun kone li... ou mem, al P-louis, Get li LIVE N DIRECT, to pu truv.. rest lor PC, v rien dir, nou bzin on the ROad,...... | Merci beaucoup |  @luckyhuss  BTW, By Far, zamais mone ecrire ki Bam ti al dehor pu ecrire lyrics la, ek mem sant li....  Mais respect 4 wot he has done kum un artist morician.... Anyways, merci pu to views ek l'opinion!!! La musique mem, li universal... pour mwa, sega typik, 1 passion , 1 plaisir ek 1 loisir aussi...  aler Bye >;)  | @kavishspike147 assez, faudrait ale dehor pou conn so valeur ? mo ti dehor avan ek mo moris aster, mai mo ti conn so valeur tou le temps. en tou ka, ene zafer mo sir, bam pa ti ecrir sa santer kan li ti dehor. Li ti ecrir sa dan so pei mem. | 46 gopia finn unlike Sa artist or la! | Mireille  Mathieu | <3"
XUXGy5L2uEA,Lavwa lepep,"Inoubliable!! | super mix, santer bien touchant extra! | mi p rod gale gale | kot m kv ggn n cd sega militant par siven chinien? | Kot Kapave gagne Cd La?  | plzzzzz whr can i get ths cd plzz | enkor ena sa album la frere? | kot m kpv ggn sa CD la part? merci :)  | CD en vente Rs150, ena CD Bam osi+ latanier "
